pga_g,pga_growth,p_wave_sec,depth_km,distance_km,stations,noise_level,warning
0.7644,0.6259,6.31,40.66,188.13,44,0.126,1
1.0394,0.6438,1.58,74.09,83.31,37,0.049,1
0.4131,0.0687,3.6,51.21,170.53,31,0.178,0
0.3358,0.7619,6.41,84.16,31.08,31,0.155,1
1.079,0.8099,6.07,82.46,130.12,37,0.048,1
0.7387,0.2548,1.0,61.13,165.03,35,0.186,0
1.0856,0.2852,3.2,57.76,177.78,11,0.114,1
1.0079,0.2994,0.53,63.67,28.61,36,0.156,1
1.173,0.5353,4.97,5.16,108.03,60,0.042,1
0.4147,0.3046,4.76,23.35,158.9,27,0.092,0
1.1689,0.524,5.85,23.85,35.43,65,0.088,1
0.3357,0.0897,1.34,40.25,190.95,53,0.076,0
1.0425,0.8962,6.53,96.21,66.56,33,0.031,1
0.5502,0.6176,5.81,46.56,68.99,25,0.042,1
0.207,0.686,1.07,89.95,4.29,26,0.239,0
0.2494,0.6824,6.78,31.03,157.44,3,0.277,0
0.8698,0.6504,0.97,22.15,3.59,69,0.086,1
0.7624,0.8924,2.79,6.34,35.86,46,0.132,1
0.045,0.6447,6.3,35.61,171.77,47,0.235,0
1.0949,0.7173,4.07,82.55,26.53,14,0.163,1
0.309,0.3561,3.15,66.32,187.57,25,0.216,0
0.5297,0.6618,3.38,81.56,168.43,18,0.05,0
0.1422,0.6578,4.48,4.71,162.83,12,0.144,0
0.6457,0.0732,2.93,63.21,177.18,63,0.233,0
1.0858,0.0165,2.03,36.75,176.24,13,0.181,1
0.5531,0.5311,5.27,71.28,88.49,9,0.175,1
0.8658,0.7769,1.77,65.89,172.52,31,0.218,1
0.731,0.1154,4.23,39.41,140.25,30,0.011,0
0.6836,0.6733,2.18,74.37,129.91,32,0.037,1
0.0553,0.0533,2.3,93.21,44.7,6,0.28,0
0.77,0.8282,2.47,17.03,4.63,14,0.23,1
0.1805,0.4809,5.12,33.68,102.45,49,0.276,0
0.0127,0.7678,4.67,82.49,100.99,80,0.188,0
0.8501,0.5987,5.11,46.79,134.47,72,0.226,1
0.0386,0.7484,6.59,46.88,25.31,27,0.205,0
0.1128,0.4725,5.58,10.61,48.55,13,0.036,0
0.3361,0.2852,2.72,50.43,115.67,43,0.233,0
0.1453,0.6263,4.99,52.97,91.67,53,0.278,0
0.6937,0.1976,6.19,75.7,16.88,3,0.253,1
0.8202,0.7665,3.73,88.06,36.78,38,0.138,1
0.8507,0.2349,2.75,36.15,65.56,13,0.057,1
0.7905,0.4312,5.17,75.82,150.34,42,0.09,1
0.3072,0.3771,0.66,24.62,177.37,43,0.011,0
0.4177,0.0806,1.71,5.47,170.43,55,0.192,0
0.4469,0.4882,7.74,17.79,106.65,69,0.081,1
0.6274,0.701,5.24,65.48,44.39,2,0.217,1
0.5234,0.1153,7.61,61.84,123.24,22,0.21,0
0.3057,0.2388,0.71,69.73,42.63,34,0.189,0
0.7906,0.669,1.57,8.8,14.52,51,0.098,1
0.0273,0.3317,1.57,13.06,99.24,66,0.209,0
0.3354,0.6948,1.83,11.81,61.33,53,0.212,1
1.0549,0.7766,3.95,33.62,42.0,50,0.25,1
0.2792,0.771,6.52,67.73,56.25,2,0.255,0
0.9411,0.5989,2.84,27.78,10.09,62,0.038,1
1.1794,0.3509,5.39,57.82,45.43,9,0.096,1
1.1239,0.3263,4.57,19.28,74.51,33,0.117,1
0.2078,0.6002,7.04,91.11,34.0,49,0.28,1
1.0651,0.6888,6.9,25.61,178.68,34,0.262,1
0.0702,0.6006,6.77,25.01,6.85,57,0.151,1
0.5957,0.3702,4.14,92.46,182.06,55,0.138,1
0.1508,0.0704,3.21,47.98,187.38,72,0.027,0
0.2669,0.5539,8.0,92.98,75.87,8,0.284,0
0.6346,0.2234,1.78,86.74,43.26,11,0.148,0
0.9442,0.1272,6.55,63.84,20.49,36,0.202,1
0.4399,0.1165,7.88,49.19,36.81,2,0.192,0
0.7758,0.6214,0.74,65.55,154.74,78,0.05,1
0.4437,0.3547,7.15,33.56,9.31,48,0.2,1
0.0286,0.4181,5.93,46.04,170.17,37,0.137,0
0.1772,0.1805,6.12,59.16,187.95,52,0.017,0
0.5862,0.0686,3.3,85.62,148.74,28,0.19,0
0.2675,0.7522,2.01,99.96,91.86,29,0.293,0
0.2212,0.3776,5.82,57.72,154.24,31,0.25,0
0.0102,0.5507,2.43,46.51,112.81,50,0.05,0
1.1527,0.1427,1.53,53.18,116.7,8,0.059,1
0.5132,0.0814,6.65,79.42,51.38,73,0.202,1
0.33,0.8484,3.56,7.06,183.04,14,0.291,0
1.0857,0.0728,6.15,19.17,28.54,10,0.164,1
0.7876,0.4664,1.37,25.89,131.97,76,0.207,1
0.4498,0.4745,4.69,44.73,118.85,33,0.175,0
0.3142,0.2205,3.25,53.34,135.8,10,0.213,0
0.0779,0.6173,2.09,34.15,184.1,57,0.148,0
0.7805,0.1704,7.69,79.0,47.35,56,0.036,1
1.1654,0.4929,3.51,15.13,149.7,48,0.223,1
0.9226,0.1235,2.17,23.06,53.94,5,0.158,1
1.0626,0.5582,5.35,48.02,91.37,43,0.177,1
0.5303,0.1661,4.11,3.73,135.52,21,0.124,0
0.1494,0.5701,2.69,55.92,41.6,32,0.214,0
0.9218,0.2778,2.42,82.51,120.62,76,0.023,1
1.0775,0.54,3.59,56.94,6.78,1,0.253,1
0.2166,0.1653,7.25,78.96,48.04,4,0.043,0
1.1222,0.8733,1.61,34.86,104.94,41,0.095,1
0.4063,0.8352,2.48,28.02,13.62,7,0.212,0
0.3229,0.7146,5.97,35.49,98.87,25,0.186,1
0.904,0.7567,3.67,30.92,4.31,40,0.241,1
0.9644,0.0938,4.9,20.75,141.84,60,0.239,1
0.7995,0.5129,1.54,20.89,116.92,14,0.254,1
0.5542,0.6782,4.26,53.14,67.04,8,0.019,1
0.3561,0.5794,5.68,62.24,180.46,27,0.296,0
1.1945,0.8097,1.48,8.08,93.12,44,0.25,1
0.9553,0.2856,2.87,72.68,12.08,78,0.101,1
0.3592,0.2993,2.27,19.18,126.26,32,0.144,0
0.6131,0.474,3.22,72.2,106.32,10,0.041,1
0.0934,0.3545,4.13,26.75,134.04,29,0.14,0
0.5079,0.6376,4.51,78.42,145.22,41,0.189,0
0.1349,0.4156,5.28,29.3,8.44,72,0.047,0
0.367,0.071,6.13,77.53,88.03,11,0.052,0
0.84,0.6471,6.02,5.12,182.05,18,0.164,1
0.9841,0.5473,3.55,25.49,77.99,55,0.215,1
0.4413,0.8031,3.94,56.09,19.25,50,0.147,1
0.3536,0.4241,5.87,73.93,26.8,25,0.275,0
0.5943,0.782,4.35,80.61,6.5,66,0.146,1
1.0269,0.2959,1.8,74.98,68.98,25,0.201,1
0.0771,0.0101,2.24,35.69,157.7,33,0.186,0
0.3992,0.7652,6.64,28.07,73.8,48,0.189,1
0.4793,0.2627,7.57,3.23,135.48,73,0.229,1
0.967,0.8917,5.96,75.97,162.79,33,0.156,1
0.3978,0.3989,2.8,25.5,142.94,8,0.11,0
1.0558,0.1338,7.54,74.94,135.71,7,0.24,1
1.0127,0.8815,7.6,48.08,92.9,28,0.222,1
0.1508,0.7991,7.27,4.51,74.64,79,0.03,1
0.8919,0.1866,3.97,41.38,160.68,49,0.1,1
0.5699,0.8107,6.0,32.53,174.92,74,0.275,1
0.7239,0.898,7.22,8.71,89.78,2,0.265,1
0.4412,0.3333,7.69,70.2,25.85,73,0.02,1
0.7131,0.3948,5.88,44.07,19.37,68,0.094,1
0.1308,0.7166,5.03,7.66,73.98,56,0.056,0
0.768,0.0785,3.63,34.07,198.33,66,0.222,1
0.6054,0.6049,1.57,95.75,199.99,72,0.271,1
0.2052,0.0256,5.37,88.14,23.45,73,0.115,0
0.0379,0.4571,7.24,90.24,191.04,66,0.144,0
0.1938,0.1999,1.65,44.95,7.05,18,0.185,0
0.5101,0.4668,4.01,11.05,2.13,44,0.272,1
0.2069,0.7067,4.54,24.74,164.56,30,0.185,0
0.7068,0.6515,6.12,71.78,142.4,35,0.252,1
0.515,0.4647,4.16,2.17,173.98,9,0.27,0
0.3907,0.1627,2.12,55.22,82.24,32,0.299,0
0.2809,0.7837,3.17,44.73,62.7,28,0.139,1
0.1581,0.2736,3.63,84.31,153.97,76,0.151,0
1.1343,0.4296,1.98,60.01,29.79,22,0.078,1
0.0928,0.0994,6.01,34.89,141.29,51,0.197,0
0.5637,0.7528,4.61,6.08,157.1,62,0.113,1
0.488,0.395,2.74,56.31,132.88,1,0.285,0
0.1829,0.3356,6.89,79.52,118.41,29,0.109,0
0.489,0.1723,1.37,89.96,160.3,4,0.189,0
0.9698,0.4023,2.56,53.1,4.95,71,0.164,1
0.5775,0.306,3.4,61.7,157.41,34,0.015,0
0.962,0.0698,6.58,63.58,3.39,43,0.094,1
0.4589,0.0774,2.07,74.2,28.98,40,0.076,0
0.0785,0.2448,6.0,72.57,182.16,19,0.17,0
1.1109,0.3963,1.95,75.31,171.86,50,0.132,1
0.7592,0.6409,1.85,14.38,61.04,11,0.026,1
0.8529,0.5708,1.34,17.88,37.0,78,0.114,1
1.13,0.1862,1.41,85.99,65.73,53,0.083,1
1.1939,0.6382,1.81,19.63,31.3,45,0.192,1
0.7897,0.4065,5.17,90.73,156.85,71,0.239,1
1.0588,0.5449,3.03,40.8,188.73,7,0.275,1
0.6774,0.1368,1.81,39.56,138.44,1,0.155,0
1.1271,0.7616,3.21,71.15,38.62,49,0.221,1
0.4965,0.8644,7.67,93.04,123.42,41,0.27,1
0.261,0.6011,5.11,2.42,116.4,42,0.102,1
0.9115,0.2434,5.08,17.53,171.68,63,0.286,1
0.5955,0.7475,0.85,43.95,17.44,54,0.273,1
0.708,0.3903,7.5,10.55,155.64,14,0.119,1
0.5281,0.7955,6.57,9.97,90.33,48,0.038,1
0.5977,0.6524,2.11,66.12,56.3,48,0.07,1
0.6372,0.6943,5.69,65.45,56.25,41,0.126,1
1.1405,0.4308,1.39,75.41,29.83,38,0.026,1
0.8911,0.1267,5.28,38.9,50.57,65,0.02,1
0.5787,0.0873,6.89,89.54,7.85,60,0.184,1
0.3563,0.7575,5.07,95.76,129.4,16,0.197,0
1.0076,0.2416,1.73,90.83,45.4,29,0.083,1
1.0887,0.5554,7.78,77.57,126.53,69,0.191,1
1.1617,0.1989,3.62,48.03,63.24,8,0.226,1
0.9893,0.8662,7.42,17.73,137.09,71,0.102,1
1.0684,0.8243,7.24,48.02,186.71,73,0.117,1
0.7114,0.1543,7.15,38.03,192.0,18,0.155,0
0.3463,0.3039,4.83,19.46,154.32,41,0.069,0
0.7591,0.5111,7.61,69.18,73.1,26,0.168,1
1.0365,0.6062,3.2,61.27,60.76,32,0.216,1
0.2595,0.0731,4.36,66.93,150.89,31,0.204,0
0.8242,0.8347,7.94,68.46,142.93,1,0.087,1
0.3438,0.8067,5.7,52.49,70.66,76,0.165,1
0.2251,0.5201,7.91,90.8,45.61,27,0.28,0
0.6235,0.2979,7.75,41.7,139.79,9,0.183,1
0.8402,0.3878,6.72,89.45,103.37,55,0.116,1
1.1928,0.8943,5.17,66.04,33.06,47,0.17,1
0.4372,0.8111,2.41,15.88,32.47,20,0.042,1
0.378,0.5147,1.22,50.66,93.2,2,0.221,0
0.2911,0.135,7.44,2.56,179.18,46,0.08,0
0.4712,0.3086,6.24,23.79,134.33,7,0.141,0
0.6087,0.832,5.03,19.73,14.83,11,0.234,1
0.1038,0.6815,1.06,78.34,89.93,20,0.06,0
0.524,0.839,1.3,52.33,185.75,76,0.023,1
0.7812,0.1494,5.19,7.72,101.87,43,0.024,1
0.6299,0.6758,1.93,41.63,46.56,27,0.136,1
1.0841,0.0132,2.17,41.04,40.48,12,0.165,1
0.3523,0.3343,2.36,66.82,66.71,5,0.126,0
0.1953,0.0727,4.57,99.08,184.07,13,0.121,0
0.8197,0.2352,1.24,92.64,112.98,58,0.095,1
0.5735,0.1358,4.13,14.45,137.46,24,0.178,0
1.1718,0.0503,5.86,80.49,23.46,42,0.08,1
0.3292,0.1618,6.72,41.85,165.67,21,0.294,0
0.5311,0.0132,1.19,73.16,173.08,20,0.201,0
0.9712,0.0918,2.16,16.99,174.95,11,0.264,1
1.1957,0.2933,7.32,79.03,173.16,76,0.138,1
1.0088,0.4845,2.83,22.01,145.76,17,0.118,1
0.6175,0.5334,2.17,29.19,101.07,65,0.016,1
0.0619,0.2709,1.39,63.58,89.73,48,0.16,0
0.3063,0.8338,4.33,38.77,58.79,52,0.251,1
0.3916,0.6167,5.97,86.49,142.14,59,0.114,1
0.9081,0.6627,2.06,24.91,157.09,33,0.194,1
0.0824,0.3309,0.74,96.27,105.43,40,0.243,0
0.2829,0.3099,1.31,79.97,147.68,63,0.04,0
0.0614,0.1267,3.04,43.17,191.61,37,0.132,0
0.3837,0.877,1.88,17.46,56.91,32,0.106,1
0.5184,0.1811,6.3,38.72,24.75,35,0.137,0
0.483,0.5398,2.41,3.98,78.62,49,0.237,1
0.3921,0.1228,0.76,72.22,42.16,75,0.206,0
0.7371,0.2715,2.0,85.82,181.94,30,0.147,0
0.1543,0.5187,4.37,85.34,18.91,59,0.045,0
0.2632,0.2871,3.62,37.59,180.56,15,0.106,0
0.5126,0.3068,2.3,64.1,104.42,71,0.245,1
0.3303,0.7008,4.09,98.73,11.82,49,0.144,1
0.723,0.4279,7.67,17.66,191.28,34,0.23,1
0.9001,0.8456,7.08,32.45,174.37,1,0.03,1
0.0157,0.3752,3.92,92.07,70.22,48,0.295,0
0.2114,0.4644,4.2,38.44,172.38,27,0.074,0
0.7263,0.5077,2.55,76.62,124.01,48,0.255,1
0.4456,0.886,5.31,15.48,135.13,15,0.108,0
0.4394,0.3678,1.71,66.92,133.29,58,0.115,0
0.3175,0.1634,5.78,18.13,183.45,8,0.018,0
0.822,0.6114,4.23,48.29,40.31,23,0.03,1
0.2177,0.1757,6.58,51.17,140.73,22,0.201,0
0.6457,0.6477,6.0,12.9,55.47,39,0.207,1
0.66,0.5589,6.35,58.0,45.22,57,0.225,1
1.0248,0.4493,4.62,18.09,12.82,14,0.033,1
0.7534,0.5368,5.67,52.19,30.37,9,0.061,1
0.0287,0.8023,3.8,83.36,138.01,69,0.079,0
0.2271,0.2895,5.26,61.12,27.21,48,0.029,0
0.1538,0.1521,2.69,29.32,184.1,12,0.262,0
1.1879,0.4018,6.47,29.53,185.37,8,0.222,1
1.1108,0.5014,5.09,86.47,29.56,70,0.145,1
0.9454,0.4158,1.98,95.72,56.95,66,0.082,1
0.2766,0.2034,7.66,38.08,102.46,65,0.151,0
0.7528,0.6917,6.48,71.37,80.84,21,0.111,1
0.4932,0.4769,1.66,92.02,94.9,65,0.071,0
1.1372,0.5918,2.37,57.97,180.26,34,0.09,1
0.4585,0.525,2.13,44.86,1.38,39,0.084,1
0.9985,0.5014,5.01,63.35,25.96,22,0.095,1
0.817,0.7355,3.78,67.99,190.61,25,0.256,1
0.1958,0.1633,7.23,33.14,129.23,56,0.123,0
0.6972,0.1791,4.06,54.7,88.49,65,0.151,1
0.128,0.8825,7.04,45.54,178.02,73,0.04,0
1.1832,0.5711,4.96,94.07,35.22,45,0.118,1
0.5811,0.0681,5.33,69.74,31.52,71,0.246,1
0.6913,0.8089,1.98,22.17,51.88,12,0.086,1
0.227,0.0102,7.38,23.87,49.29,53,0.043,0
0.4018,0.1062,5.73,78.47,199.16,27,0.112,0
0.3829,0.3555,5.39,54.28,45.53,54,0.031,1
0.5344,0.399,6.26,83.42,95.72,23,0.25,0
1.0877,0.7406,2.08,6.81,43.93,74,0.272,1
0.1509,0.6196,7.24,44.23,2.77,34,0.192,0
0.7621,0.7603,4.02,14.84,60.74,27,0.051,1
0.3626,0.3499,5.9,52.95,47.07,9,0.047,0
0.8077,0.2654,6.43,31.96,109.62,21,0.044,1
1.1242,0.0324,5.93,38.13,36.76,51,0.195,1
0.8906,0.8067,1.38,47.47,97.94,57,0.121,1
1.1629,0.2964,5.35,83.59,79.24,72,0.091,1
0.1403,0.0476,3.87,87.65,41.4,57,0.123,0
0.7279,0.1625,1.62,28.73,167.76,16,0.173,0
0.5053,0.0401,3.83,91.73,61.25,76,0.138,0
0.9623,0.3705,4.3,82.15,162.31,47,0.047,1
0.5733,0.0241,1.63,23.8,17.22,12,0.17,0
0.3546,0.8723,3.81,59.43,63.24,7,0.173,1
1.172,0.4934,5.42,31.92,12.62,15,0.039,1
0.7093,0.6517,2.58,50.7,38.14,56,0.016,1
0.5531,0.2996,4.63,64.57,102.32,13,0.242,0
0.1468,0.4628,4.28,72.51,75.4,53,0.275,0
0.6205,0.5396,4.99,25.62,87.41,60,0.085,1
0.2528,0.8978,5.36,81.35,112.05,11,0.085,0
0.8472,0.3307,5.67,93.1,80.44,23,0.217,1
0.1343,0.4333,5.37,69.36,9.58,25,0.288,0
0.4766,0.6198,1.97,67.32,112.79,37,0.127,0
0.2336,0.855,7.74,78.19,198.52,60,0.021,0
0.1071,0.6179,1.07,56.73,35.32,47,0.265,0
0.5756,0.2881,3.26,80.29,168.71,70,0.204,1
0.2127,0.1485,4.76,22.78,67.98,14,0.162,0
1.1753,0.7329,7.78,30.28,17.35,27,0.124,1
0.0244,0.3976,3.35,3.24,172.44,49,0.238,0
0.4898,0.224,4.95,47.28,84.48,65,0.036,1
0.5436,0.1995,0.94,58.24,7.34,16,0.232,0
0.7081,0.7971,4.14,16.35,80.32,70,0.144,1
0.4214,0.1531,1.17,98.41,157.41,43,0.184,0
0.6844,0.3002,7.46,38.37,21.32,43,0.084,1
0.8949,0.8494,2.45,28.86,86.58,68,0.139,1
0.3881,0.1077,5.15,81.28,50.4,17,0.071,0
0.2588,0.604,1.91,34.66,145.8,62,0.24,0
1.1664,0.1653,1.07,46.35,4.55,62,0.226,1
0.61,0.0867,2.24,15.55,10.96,53,0.079,0
0.4801,0.5846,4.29,33.66,121.76,56,0.069,1
0.4094,0.0207,1.2,7.43,85.15,63,0.212,0
0.7072,0.5266,0.59,39.59,53.07,80,0.288,1
0.6046,0.479,1.28,11.6,132.06,64,0.222,1
0.1478,0.5432,7.03,98.69,151.94,6,0.186,0
0.5113,0.5406,5.51,2.27,95.44,32,0.112,1
0.7581,0.547,0.89,32.08,47.74,73,0.126,1
1.0656,0.7211,5.45,44.18,176.67,75,0.291,1
0.7648,0.4847,5.79,94.8,3.77,42,0.216,1
0.8444,0.691,2.33,91.22,33.78,34,0.079,1
0.8487,0.4806,5.04,33.9,117.76,13,0.082,1
0.6241,0.3533,3.1,80.73,35.82,72,0.289,1
0.6382,0.7185,0.89,13.97,167.83,1,0.125,1
0.6619,0.8359,0.98,34.29,32.0,18,0.28,1
1.055,0.7694,3.95,75.59,97.95,16,0.073,1
1.1281,0.7312,2.22,2.1,173.6,34,0.038,1
0.7641,0.7509,7.89,34.12,166.95,24,0.101,1
0.8234,0.6191,6.87,57.55,55.85,33,0.185,1
0.4527,0.1453,5.71,3.99,174.75,26,0.236,0
0.9219,0.2826,1.24,29.62,154.55,60,0.244,1
0.1205,0.3678,1.85,22.32,186.61,1,0.036,0
0.8046,0.0843,2.35,67.03,174.84,53,0.192,1
0.2493,0.5331,3.77,35.99,91.31,47,0.213,0
0.1614,0.3527,2.7,29.65,148.1,28,0.137,0
1.0519,0.7179,2.78,63.01,18.83,16,0.14,1
0.6845,0.7776,2.42,27.35,21.52,65,0.213,1
0.2371,0.0155,7.1,83.91,192.89,44,0.119,0
0.157,0.5765,6.05,92.48,132.35,40,0.129,0
0.9982,0.2661,7.03,77.93,118.31,79,0.29,1
0.1753,0.8298,5.3,87.5,83.26,4,0.09,0
1.0528,0.7879,3.7,3.98,199.12,26,0.212,1
0.822,0.0925,5.28,99.25,62.72,26,0.13,0
1.1347,0.5736,3.24,12.53,14.7,67,0.043,1
0.9017,0.6865,7.52,66.79,114.51,22,0.08,1
1.1887,0.3033,3.39,99.95,146.53,5,0.294,1
0.6801,0.1942,0.9,17.6,69.82,11,0.268,0
0.5355,0.4884,4.5,6.17,14.17,27,0.21,1
0.4626,0.828,6.65,31.59,14.32,71,0.104,1
0.1038,0.2992,6.96,41.5,145.65,48,0.139,0
0.2872,0.1755,1.86,81.93,91.21,45,0.23,0
0.976,0.6887,0.99,31.76,73.16,36,0.164,1
0.7701,0.0991,3.01,24.6,168.78,2,0.013,0
0.7626,0.3409,4.24,58.13,44.86,27,0.22,1
0.4265,0.6869,4.8,81.91,197.14,49,0.034,1
0.9052,0.5344,5.69,63.78,129.84,64,0.07,1
0.943,0.4998,6.17,49.95,8.28,28,0.105,1
0.3576,0.6226,1.53,76.29,160.53,80,0.204,0
0.2551,0.4863,4.98,73.42,40.35,40,0.125,0
1.0993,0.1819,1.6,42.57,57.8,48,0.228,1
0.1858,0.0958,2.39,52.47,54.74,59,0.282,0
0.8378,0.5094,2.41,95.06,191.34,2,0.074,1
0.283,0.7037,6.48,27.77,69.1,40,0.092,0
0.1734,0.3351,5.28,35.54,102.12,55,0.083,0
0.6982,0.4071,2.79,53.54,155.05,6,0.11,1
0.6785,0.4332,2.97,15.14,177.22,78,0.21,1
0.2903,0.2305,2.35,21.31,105.17,17,0.165,0
0.603,0.6021,1.94,63.39,85.62,61,0.064,1
0.8561,0.0467,2.56,13.54,30.63,68,0.268,1
0.6251,0.1423,3.32,31.73,116.95,43,0.146,0
1.1193,0.3108,3.48,95.84,69.43,63,0.268,1
1.1301,0.1145,6.87,77.87,150.12,77,0.232,1
0.411,0.1432,1.93,56.75,128.82,47,0.209,0
0.0616,0.8408,3.38,80.71,94.84,44,0.097,0
0.6587,0.0324,4.17,9.76,171.98,75,0.133,1
1.1485,0.0834,5.78,73.3,121.58,3,0.163,1
0.591,0.8476,5.45,26.81,183.3,53,0.278,1
0.1727,0.8954,6.05,22.57,30.15,75,0.088,1
0.5892,0.3321,7.23,44.61,139.78,65,0.299,1
1.011,0.6612,0.82,70.15,99.1,63,0.061,1
0.9353,0.3695,7.07,51.35,186.3,36,0.087,1
0.7805,0.5172,7.18,52.12,103.01,67,0.072,1
0.0297,0.3024,2.85,14.15,84.21,5,0.037,0
0.791,0.7893,2.08,41.98,150.36,27,0.052,1
0.8208,0.4227,4.03,6.16,111.56,27,0.243,1
0.2601,0.1049,5.93,75.05,129.97,67,0.178,0
0.1865,0.6188,0.86,28.36,2.43,74,0.229,0
0.5168,0.385,3.74,56.98,72.98,51,0.053,1
0.3209,0.2748,5.07,45.18,65.35,15,0.125,0
0.4467,0.2229,0.62,87.63,187.86,37,0.262,0
0.8115,0.8197,7.31,25.05,134.18,58,0.084,1
0.5689,0.3548,2.25,80.23,172.84,47,0.043,0
0.7166,0.8868,5.86,47.0,29.88,8,0.133,1
0.5396,0.5262,6.41,93.79,153.19,17,0.039,1
0.7104,0.3846,2.37,93.01,146.32,16,0.18,0
1.0731,0.0904,5.09,84.82,145.88,67,0.106,1
1.134,0.8571,2.96,61.39,23.05,53,0.281,1
1.0132,0.4087,2.92,22.12,172.87,69,0.189,1
1.0819,0.4686,2.41,59.42,55.85,20,0.095,1
0.7337,0.5328,3.83,87.89,145.31,23,0.125,1
0.914,0.3694,4.06,40.85,155.07,7,0.133,1
1.1736,0.4776,5.61,39.37,55.04,18,0.047,1
1.0971,0.8987,6.64,52.26,119.85,18,0.061,1
0.6566,0.0121,5.83,44.45,14.72,34,0.037,1
0.1398,0.2742,4.25,60.63,197.16,36,0.238,0
0.0748,0.6731,4.74,66.5,114.96,3,0.058,0
0.3171,0.4802,6.67,59.4,86.51,31,0.152,0
0.5507,0.7652,2.79,99.13,153.64,51,0.199,1
0.4341,0.8011,2.73,11.88,40.58,78,0.196,1
0.3342,0.0872,7.89,6.25,122.87,45,0.177,0
0.7886,0.3123,2.52,63.29,173.25,67,0.158,1
0.1419,0.1649,2.31,52.35,95.8,71,0.286,0
0.5091,0.5264,1.74,38.49,18.14,41,0.253,1
0.2285,0.2809,6.65,86.98,193.13,65,0.209,0
0.9549,0.3736,1.66,66.58,64.52,18,0.14,1
0.3706,0.1306,2.93,25.53,74.6,12,0.163,0
0.7312,0.4166,6.1,11.28,150.5,71,0.238,1
0.3139,0.0967,7.06,33.56,82.09,69,0.038,0
0.2243,0.844,3.66,94.85,52.74,8,0.052,0
0.4522,0.3155,1.65,83.52,92.67,6,0.109,0
0.3922,0.4668,6.09,88.51,71.3,68,0.127,1
0.6708,0.3326,2.55,88.73,160.38,40,0.192,0
0.8356,0.5946,3.73,5.94,185.49,37,0.171,1
0.6732,0.0901,7.4,12.08,28.61,57,0.196,1
0.97,0.6264,7.48,7.07,3.12,31,0.229,1
1.0573,0.1428,6.89,86.09,152.07,74,0.125,1
0.5799,0.2573,7.7,78.7,136.4,39,0.172,1
0.0515,0.3982,1.45,63.1,26.71,77,0.243,0
0.6397,0.8646,0.55,89.93,143.11,63,0.17,1
0.5789,0.7471,3.48,57.55,6.47,64,0.023,1
0.1565,0.0779,4.77,33.55,52.96,58,0.198,0
1.0155,0.8393,4.85,53.97,108.34,63,0.293,1
1.1478,0.6568,6.69,9.38,25.61,45,0.217,1
0.8027,0.1956,2.29,25.55,68.92,52,0.089,1
0.0772,0.48,2.75,68.03,112.65,77,0.221,0
0.761,0.1612,3.91,85.98,80.85,13,0.145,0
0.7433,0.1756,6.95,88.14,170.86,63,0.262,1
0.7373,0.546,2.97,59.03,183.09,50,0.183,1
0.1437,0.761,3.04,91.04,66.52,40,0.051,0
1.0187,0.7752,3.96,98.34,63.44,29,0.282,1
0.1336,0.3422,7.99,54.42,191.43,33,0.165,0
0.8385,0.5804,1.05,56.47,142.27,49,0.264,1
0.3155,0.7407,0.64,42.81,188.88,33,0.015,0
0.6666,0.4809,3.94,60.24,68.32,69,0.212,1
0.4246,0.1378,1.08,99.78,160.14,59,0.14,0
0.8614,0.73,7.52,35.33,164.11,61,0.204,1
1.0131,0.3739,4.69,85.18,40.63,4,0.167,1
0.9596,0.746,3.08,42.01,169.49,38,0.134,1
0.0135,0.0922,5.85,14.92,51.84,76,0.26,0
0.0162,0.6813,4.99,37.72,4.69,56,0.086,0
0.2976,0.1042,3.88,93.34,128.25,30,0.041,0
1.1834,0.2987,2.87,48.57,33.3,52,0.147,1
0.1974,0.3486,3.86,54.46,136.22,13,0.141,0
0.898,0.6061,3.28,14.57,122.76,53,0.147,1
0.5723,0.6203,5.07,43.49,38.03,60,0.093,1
1.0779,0.1522,3.29,60.42,163.15,31,0.082,1
0.8315,0.8993,3.44,94.0,87.88,19,0.069,1
0.0876,0.2825,4.07,74.99,126.48,60,0.01,0
0.0949,0.0426,3.74,4.65,105.67,17,0.069,0
1.1523,0.3284,5.15,55.1,53.34,1,0.283,1
1.1474,0.6724,6.84,7.68,133.54,2,0.187,1
0.9374,0.3576,4.43,43.27,88.24,3,0.276,1
0.8855,0.6331,1.56,5.46,166.35,60,0.101,1
0.6431,0.0276,3.05,36.19,14.45,10,0.272,1
0.9795,0.0138,3.63,12.94,145.44,12,0.24,1
0.1205,0.7597,6.72,52.58,47.69,29,0.045,0
0.3967,0.0117,7.87,42.67,154.46,73,0.178,0
1.1132,0.8674,1.12,75.56,46.03,42,0.299,1
0.4758,0.7756,3.09,67.2,100.57,64,0.068,1
0.251,0.8829,2.05,46.14,187.32,30,0.1,0
1.0194,0.6661,4.8,42.0,113.83,10,0.036,1
0.5887,0.7789,1.16,69.99,7.38,5,0.219,1
0.9927,0.5611,2.21,57.33,79.55,35,0.11,1
0.5541,0.8988,3.86,96.32,93.81,39,0.073,1
0.2806,0.2784,7.29,67.13,116.4,71,0.116,1
0.953,0.1228,1.34,23.78,131.95,17,0.255,1
0.2016,0.1527,4.57,37.83,164.03,62,0.011,0
0.3958,0.3789,3.2,33.76,4.81,40,0.224,1
0.5965,0.0125,2.25,90.26,91.99,27,0.251,0
1.1321,0.4136,7.91,2.51,37.66,70,0.205,1
